r2_lr1-e4	r4_lr1-e4	r8_lr1-e4
0.787	0.752	0.594
2.31	0.742	0.526
2.31	0.742	0.526
1.04	0.842	0.632
1.04	0.842	0.632
1.02	0.436	0.693
1.02	0.436	0.693
0.769	0.287	0.832
0.769	0.287	0.832
0.681	0.69	0.689
0.681	0.69	0.689
0.589	0.618	0.799
0.589	0.618	0.799
0.565	0.549	0.536
0.565	0.549	0.536
0.891	0.587	0.656
0.891	0.587	0.656
0.83	0.7	0.752
0.83	0.7	0.752
0.795	0.383	0.449
0.795	0.383	0.449
0.91	0.656	0.809
0.91	0.656	0.809
0.494	0.872	0.411
0.494	0.872	0.411
0.723	0.573	0.619
0.723	0.573	0.619
0.874	0.752	0.545
0.874	0.752	0.545
0.651	0.713	0.561
0.651	0.713	0.561
0.789	0.812	0.503
0.789	0.812	0.503
0.893	0.643	0.557
0.893	0.643	0.557
0.761	0.652	0.768
0.761	0.652	0.768
0.799	0.754	0.511
0.799	0.754	0.511
0.895	0.753	0.628
0.895	0.753	0.628
0.788	0.65	0.884
0.788	0.65	0.884
0.86	0.808	0.701
0.86	0.808	0.701
0.558	0.785	0.73
0.558	0.785	0.73
0.634	0.712	0.58
0.634	0.712	0.58
0.494	0.536	0.569
0.494	0.536	0.569
0.609	0.675	0.648
0.609	0.675	0.648
0.864	0.811	0.696
0.864	0.811	0.696
0.468	0.662	0.843
0.468	0.662	0.843
1.01	0.846	0.58
1.01	0.846	0.58
1.91	0.621	0.403
1.91	0.621	0.403
0.693	0.864	0.774
0.693	0.864	0.774
0.326	0.495	0.58
0.326	0.495	0.58
0.872	0.886	0.742
0.872	0.886	0.742
0.792	0.684	0.56
0.792	0.684	0.56
0.912	0.77	0.833
0.912	0.77	0.833
0.784	0.597	0.704
0.784	0.597	0.704
0.979	0.915	0.58
0.979	0.915	0.58
0.85	0.735	0.575
0.85	0.735	0.575
0.851	0.89	0.699
0.851	0.89	0.699
0.773	0.369	0.607
0.773	0.369	0.607
0.89	0.598	0.734
0.89	0.598	0.734
0.648	0.455	0.925
0.648	0.455	0.925
0.885	0.659	0.598
0.885	0.659	0.598
0.853	0.64	0.372
0.853	0.64	0.372
0.811	0.637	0.341
0.811	0.637	0.341
0.735	0.809	0.369
0.735	0.809	0.369
0.815	0.693	0.684
0.815	0.693	0.684
0.823	0.619	0.735
0.823	0.619	0.735
0.857	0.548	0.72
0.857	0.548	0.72
0.891	0.672	0.319
0.891	0.672	0.319
0.798	0.823	0.673
0.798	0.823	0.673
0.406	0.315	0.613
